StationCode,New_Lat,New_Long,AG_1k_01,AG_1k_06,AG_1k_11,AG_1k_16,AG_5k_01,AG_5k_06,AG_5k_11,AG_5k_16,AG_WS_01,AG_WS_06,AG_WS_11,AG_WS_16,AGUR_1k_01,AGUR_1k_06,AGUR_1k_11,AGUR_1k_16,AGUR_5k_01,AGUR_5k_06,AGUR_5k_11,AGUR_5k_16,AGUR_WS_01,AGUR_WS_06,AGUR_WS_11,AGUR_WS_16,CD21_1k_01,CD21_1k_06,CD21_1k_11,CD21_1k_16,CD21_5k_01,CD21_5k_06,CD21_5k_11,CD21_5k_16,CD21_WS_01,CD21_WS_06,CD21_WS_11,CD21_WS_16,CNL_PI_PCT,MINES,NRST_DAM,PVD_INT_1k,PVD_INT_5k,PVD_INT_WS,RDRRDEN_1k,RDRRDEN_5k,RDRRDEN_WS,UR_1k_01,UR_1k_06,UR_1k_11,UR_1k_16,UR_5k_01,UR_5k_06,UR_5k_11,UR_5k_16,UR_WS_01,UR_WS_06,UR_WS_11,UR_WS_16
205GUA090,37.15099,-121.96042,0,0,0,0,0,0,0,0,0,0,0,0,0.045537341,0.045537341,0.045537341,0.045537341,0.307840308,0.312650313,0.317460317,0.317460317,0.166031839,0.168473484,0.170915128,0.170915128,3.142076503,3.142076503,3.142076503,3.142076503,6.998556999,6.993746994,6.988936989,6.988936989,5.181170036,5.178728391,5.176286747,5.176286747,0,0,3.41953686,1,7,9,1.821181367,3.554274478,2.582729176,0.045537341,0.045537341,0.045537341,0.045537341,0.307840308,0.312650313,0.317460317,0.317460317,0.166031839,0.168473484,0.170915128,0.170915128
205GUA110,37.32156,-121.88969,0.583657588,0.583657588,0.583657588,0.583657588,0.449671394,0.449671394,0.442753373,0.442753373,0.45687989,0.452093879,0.445467096,0.445467096,95.71984436,95.71984436,95.71984436,95.71984436,91.05499827,91.98201314,92.03735732,92.14112764,42.94486884,43.12489646,43.16244823,43.29314312,3.891050584,3.891050584,3.891050584,3.891050584,7.51297129,7.589069526,7.533725355,7.429955033,7.925632766,7.817395306,7.782788771,7.723515877,12.62561918,0,13.8842844,5,24,302,18.61853645,14.25371097,7.668715214,95.13618677,95.13618677,95.13618677,95.13618677,90.60532688,91.53234175,91.59460394,91.69837427,42.48798896,42.67280258,42.71698113,42.84767602
205GUA130,37.30058,-121.8804,0,0,0,0,0.802775699,0.802775699,0.802775699,0.802775699,0.46388118,0.458520776,0.451511016,0.451511016,90.234375,90.234375,90.234375,90.234375,90.18300565,91.60487108,91.66609973,92.61854548,36.67217826,36.85690606,36.89319187,37.03462409,9.765625,9.765625,9.765625,9.765625,7.252194027,6.939247568,6.878018913,6.463024696,8.343676166,8.239354442,8.206367336,8.144928851,12.83341079,0,11.4971002,2,41,295,14.24134492,15.58707972,6.895777372,90.234375,90.234375,90.234375,90.234375,89.38022995,90.80209538,90.86332404,91.81576978,36.20829708,36.39838528,36.44168086,36.58311308
205GUA140,37.24985,-121.84186,1.018181818,1.018181818,1.018181818,1.018181818,0.718424102,0.718424102,0.718424102,0.718424102,0.904045829,0.904045829,0.904045829,0.904045829,96.94545455,96.94545455,97.09090909,97.16363636,76.39397451,76.44959444,76.49130939,76.69524913,69.21768707,69.45041174,69.48919919,69.71297291,3.054545455,3.054545455,2.909090909,2.836363636,5.914252607,5.858632677,5.826187717,5.691772885,7.399451008,7.229382981,7.196562836,7.01754386,73.2341926,0,-9999,1,12,16,13.39813665,11.3834614,10.73832631,95.92727273,95.92727273,96.07272727,96.14545455,75.67555041,75.73117034,75.77288528,75.97682503,68.31364125,68.54636591,68.58515336,68.80892708
205GUA160,37.26033,-121.89892,0,0,0,0,0.13628347,0.13628347,0.128266795,0.128266795,0.081437126,0.081437126,0.076646707,0.076646707,98.90948746,98.90948746,98.90948746,98.90948746,73.35257335,73.4968735,73.56100689,73.86564053,58.34251497,58.54850299,58.6011976,58.83592814,1.090512541,1.090512541,1.090512541,1.090512541,11.81657848,11.68831169,11.62417829,11.65624499,19.84191617,19.65508982,19.60239521,19.58802395,0,1,-9999,6,22,39,12.99355739,12.22872562,11.25467654,98.90948746,98.90948746,98.90948746,98.90948746,73.21628988,73.36059003,73.4327401,73.73737374,58.26107784,58.46706587,58.5245509,58.75928144
205GUA180,37.25969,-121.86955,0.149925037,0.149925037,0.149925037,0.149925037,1.357240692,1.338563068,1.313659569,1.313659569,0.369364124,0.362248528,0.35189857,0.35189857,82.0089955,82.60869565,84.25787106,86.05697151,74.62333458,74.7665297,74.91595069,75.09027518,14.57080018,14.59926257,14.62449059,14.66653729,9.895052474,9.295352324,7.646176912,6.596701649,14.94209937,14.811356,14.67438675,14.53741751,7.470729025,7.439032279,7.417038618,7.413157384,5.773310159,4,6.95273965,2,40,190,9.055636298,11.32213832,3.563294762,81.85907046,82.45877061,84.10794603,85.90704648,73.26609389,73.42796663,73.60229112,73.77661561,14.20143606,14.23701404,14.27259202,14.31463872
205GUA200,37.23474,-121.89215,1.74863388,1.530054645,1.31147541,1.31147541,0.086016881,0.075264771,0.064512661,0.064512661,0.039573595,0.034626895,0.029680196,0.029680196,85.57377049,85.68306011,86.01092896,86.01092896,11.46712542,11.48862964,11.50475781,11.52626203,5.285548218,5.295441617,5.302861666,5.312755064,10.05464481,9.945355191,9.617486339,9.617486339,8.714585237,8.693081017,8.676952852,8.655448632,4.733991244,4.724097846,4.716677797,4.706784398,0,3,4.30085068,0,15,19,11.85868153,5.037109395,3.391024599,83.82513661,84.15300546,84.69945355,84.69945355,11.38110854,11.41336487,11.44024515,11.46174937,5.245974623,5.260814721,5.27318147,5.283074868
205GUA210,37.21748,-121.910313,0,0,0,0,0,0,0,0,0,0,0,0,3.253796095,3.30802603,3.30802603,3.362255965,0.809491687,0.821395976,0.821395976,0.829332169,0.56635626,0.57452486,0.57452486,0.579970593,18.1670282,18.11279826,18.11279826,18.05856833,4.71013055,4.698226261,4.698226261,4.690290068,3.792953221,3.784784621,3.784784621,3.779338888,0,6,3.58264112,7,14,18,6.095150934,3.051814512,2.788486793,3.253796095,3.30802603,3.30802603,3.362255965,0.809491687,0.821395976,0.821395976,0.829332169,0.56635626,0.57452486,0.57452486,0.579970593
205GUA220,37.20101,-121.88298,0,0,0,0,0,0,0,0,0,0,0,0,1.599443672,1.599443672,1.599443672,1.599443672,0.143511619,0.143511619,0.143511619,0.143511619,0.150845814,0.150845814,0.150845814,0.150845814,5.771905424,5.771905424,5.771905424,5.771905424,2.229949771,2.229949771,2.229949771,2.229949771,2.26268721,2.26268721,2.26268721,2.26268721,0,3,0.55271832,0,4,4,4.617474673,2.166319103,2.236604741,1.599443672,1.599443672,1.599443672,1.599443672,0.143511619,0.143511619,0.143511619,0.143511619,0.150845814,0.150845814,0.150845814,0.150845814
205GUA230,37.18076,-121.87386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394011032,0.394011032,0.394011032,0.394011032,1.849328402,1.849328402,1.849328402,1.849328402,1.849328402,1.849328402,1.849328402,1.849328402,0,0,-9999,0,2,2,0.752749403,2.027935465,2.027935465,0,0,0,0,0,0,0,0,0,0,0,0
